abstract_text,true_label,predicted_label,probability_class_0,probability_class_1,fold,model,is_misclassified,n_models_misclassified
"Abstract Experimental tests of community assembly mechanisms for host‐associated microbiomes in nature are lacking. Asymptomatic foliar fungal endophytes are a major component of the plant microbiome and are increasingly recognized for their impacts on plant performance, including pathogen defense, hormonal manipulation, and drought tolerance. However, it remains unclear whether fungal endophytes preferentially colonize certain host ecotypes or genotypes, reflecting some degree of biotic adaptation in the symbioses, or whether colonization is simply a function of spore type and abundance within the local environment. Whether host ecotype, local environment, or some combination of both controls the pattern of microbiome formation across hosts represents a new dimension to the age‐old debate of nature versus nurture. Here, we used a reciprocal transplant design to explore the extent of host specificity and biotic adaptation in the plant microbiome, as evidenced by differential colonization of host genetic types by endophytes. Specifically, replicate plants from three locally‐adapted ecotypes of the native grass Panicum virgatum (switchgrass) were transplanted at three geographically distinct field sites (one home and two away) in the Midwestern US . At the end of the growing season, plant leaves were harvested and the fungal microbiome characterized using culture‐dependent sequencing techniques. Our results demonstrated that fungal endophyte community structure was determined by local environment (i.e., site), but not by host ecotype. Fungal richness and diversity also strongly differed by site, with lower fungal diversity at a riparian field site, whereas host ecotype had no effect. By contrast, there were significant differences in plant phenotypes across all ecotypes and sites, indicating ecotypic differentiation of host phenotype. Overall, our results indicate that environmental factors are the primary drivers of community structure in the switchgrass fungal microbiome.",0,1,0.3464521169662475,0.6535479426383972,3,bert-base-uncased,True,4
"Abstract Experimental tests of community assembly mechanisms for host‐associated microbiomes in nature are lacking. Asymptomatic foliar fungal endophytes are a major component of the plant microbiome and are increasingly recognized for their impacts on plant performance, including pathogen defense, hormonal manipulation, and drought tolerance. However, it remains unclear whether fungal endophytes preferentially colonize certain host ecotypes or genotypes, reflecting some degree of biotic adaptation in the symbioses, or whether colonization is simply a function of spore type and abundance within the local environment. Whether host ecotype, local environment, or some combination of both controls the pattern of microbiome formation across hosts represents a new dimension to the age‐old debate of nature versus nurture. Here, we used a reciprocal transplant design to explore the extent of host specificity and biotic adaptation in the plant microbiome, as evidenced by differential colonization of host genetic types by endophytes. Specifically, replicate plants from three locally‐adapted ecotypes of the native grass Panicum virgatum (switchgrass) were transplanted at three geographically distinct field sites (one home and two away) in the Midwestern US . At the end of the growing season, plant leaves were harvested and the fungal microbiome characterized using culture‐dependent sequencing techniques. Our results demonstrated that fungal endophyte community structure was determined by local environment (i.e., site), but not by host ecotype. Fungal richness and diversity also strongly differed by site, with lower fungal diversity at a riparian field site, whereas host ecotype had no effect. By contrast, there were significant differences in plant phenotypes across all ecotypes and sites, indicating ecotypic differentiation of host phenotype. Overall, our results indicate that environmental factors are the primary drivers of community structure in the switchgrass fungal microbiome.",0,1,0.1984967440366745,0.8015032410621643,3,bert-base-cased,True,4
"Abstract Experimental tests of community assembly mechanisms for host‐associated microbiomes in nature are lacking. Asymptomatic foliar fungal endophytes are a major component of the plant microbiome and are increasingly recognized for their impacts on plant performance, including pathogen defense, hormonal manipulation, and drought tolerance. However, it remains unclear whether fungal endophytes preferentially colonize certain host ecotypes or genotypes, reflecting some degree of biotic adaptation in the symbioses, or whether colonization is simply a function of spore type and abundance within the local environment. Whether host ecotype, local environment, or some combination of both controls the pattern of microbiome formation across hosts represents a new dimension to the age‐old debate of nature versus nurture. Here, we used a reciprocal transplant design to explore the extent of host specificity and biotic adaptation in the plant microbiome, as evidenced by differential colonization of host genetic types by endophytes. Specifically, replicate plants from three locally‐adapted ecotypes of the native grass Panicum virgatum (switchgrass) were transplanted at three geographically distinct field sites (one home and two away) in the Midwestern US . At the end of the growing season, plant leaves were harvested and the fungal microbiome characterized using culture‐dependent sequencing techniques. Our results demonstrated that fungal endophyte community structure was determined by local environment (i.e., site), but not by host ecotype. Fungal richness and diversity also strongly differed by site, with lower fungal diversity at a riparian field site, whereas host ecotype had no effect. By contrast, there were significant differences in plant phenotypes across all ecotypes and sites, indicating ecotypic differentiation of host phenotype. Overall, our results indicate that environmental factors are the primary drivers of community structure in the switchgrass fungal microbiome.",0,1,0.3245774805545807,0.6754225492477417,3,biobert,True,4
"Abstract Experimental tests of community assembly mechanisms for host‐associated microbiomes in nature are lacking. Asymptomatic foliar fungal endophytes are a major component of the plant microbiome and are increasingly recognized for their impacts on plant performance, including pathogen defense, hormonal manipulation, and drought tolerance. However, it remains unclear whether fungal endophytes preferentially colonize certain host ecotypes or genotypes, reflecting some degree of biotic adaptation in the symbioses, or whether colonization is simply a function of spore type and abundance within the local environment. Whether host ecotype, local environment, or some combination of both controls the pattern of microbiome formation across hosts represents a new dimension to the age‐old debate of nature versus nurture. Here, we used a reciprocal transplant design to explore the extent of host specificity and biotic adaptation in the plant microbiome, as evidenced by differential colonization of host genetic types by endophytes. Specifically, replicate plants from three locally‐adapted ecotypes of the native grass Panicum virgatum (switchgrass) were transplanted at three geographically distinct field sites (one home and two away) in the Midwestern US . At the end of the growing season, plant leaves were harvested and the fungal microbiome characterized using culture‐dependent sequencing techniques. Our results demonstrated that fungal endophyte community structure was determined by local environment (i.e., site), but not by host ecotype. Fungal richness and diversity also strongly differed by site, with lower fungal diversity at a riparian field site, whereas host ecotype had no effect. By contrast, there were significant differences in plant phenotypes across all ecotypes and sites, indicating ecotypic differentiation of host phenotype. Overall, our results indicate that environmental factors are the primary drivers of community structure in the switchgrass fungal microbiome.",0,1,0.4013800024986267,0.5986199975013733,3,biodivbert,True,4
"Apple trees [ Malus domestica Borkh. ( Rosaceae )] are one of the important temperate fruit crops in China. In comparison to other temperate fruits, such as grapes and pears, fungal studies (in Yunnan) associated with M. domestica are fewer in number. In the present study, we investigated fungi associated with M. domestica in Qujing City, Yunnan Province, China. Samples were collected from apple gardens in different locations. Single spore isolation was carried out to isolate saprobic fungi, while the surface sterilization method was carried out to isolate endophytic fungi. Molecular analyses were carried out to determine the phylogenetic placement of the new collections. Based on the combined methods of morphology and phylogeny, Cytospora qujingensis sp. nov. and Hypoxylon malongense sp. nov. are introduced as novel saprobic and endophytic taxa, respectively. Moreover, Aureobasidium pullulans and Cytospora schulzeri are reported as new geological records from southwestern China. Allocryptovalsa castaneae is reported on M. domestica in China for the first time. The checklist of fungi associated with M. domestica in China is presented.",1,0,0.5610858201980591,0.4389142394065857,3,bert-base-uncased,True,4
"Apple trees [ Malus domestica Borkh. ( Rosaceae )] are one of the important temperate fruit crops in China. In comparison to other temperate fruits, such as grapes and pears, fungal studies (in Yunnan) associated with M. domestica are fewer in number. In the present study, we investigated fungi associated with M. domestica in Qujing City, Yunnan Province, China. Samples were collected from apple gardens in different locations. Single spore isolation was carried out to isolate saprobic fungi, while the surface sterilization method was carried out to isolate endophytic fungi. Molecular analyses were carried out to determine the phylogenetic placement of the new collections. Based on the combined methods of morphology and phylogeny, Cytospora qujingensis sp. nov. and Hypoxylon malongense sp. nov. are introduced as novel saprobic and endophytic taxa, respectively. Moreover, Aureobasidium pullulans and Cytospora schulzeri are reported as new geological records from southwestern China. Allocryptovalsa castaneae is reported on M. domestica in China for the first time. The checklist of fungi associated with M. domestica in China is presented.",1,0,0.8178637027740479,0.18213625252246857,3,bert-base-cased,True,4
"Apple trees [ Malus domestica Borkh. ( Rosaceae )] are one of the important temperate fruit crops in China. In comparison to other temperate fruits, such as grapes and pears, fungal studies (in Yunnan) associated with M. domestica are fewer in number. In the present study, we investigated fungi associated with M. domestica in Qujing City, Yunnan Province, China. Samples were collected from apple gardens in different locations. Single spore isolation was carried out to isolate saprobic fungi, while the surface sterilization method was carried out to isolate endophytic fungi. Molecular analyses were carried out to determine the phylogenetic placement of the new collections. Based on the combined methods of morphology and phylogeny, Cytospora qujingensis sp. nov. and Hypoxylon malongense sp. nov. are introduced as novel saprobic and endophytic taxa, respectively. Moreover, Aureobasidium pullulans and Cytospora schulzeri are reported as new geological records from southwestern China. Allocryptovalsa castaneae is reported on M. domestica in China for the first time. The checklist of fungi associated with M. domestica in China is presented.",1,0,0.6440128684043884,0.3559871315956116,3,biobert,True,4
"Apple trees [ Malus domestica Borkh. ( Rosaceae )] are one of the important temperate fruit crops in China. In comparison to other temperate fruits, such as grapes and pears, fungal studies (in Yunnan) associated with M. domestica are fewer in number. In the present study, we investigated fungi associated with M. domestica in Qujing City, Yunnan Province, China. Samples were collected from apple gardens in different locations. Single spore isolation was carried out to isolate saprobic fungi, while the surface sterilization method was carried out to isolate endophytic fungi. Molecular analyses were carried out to determine the phylogenetic placement of the new collections. Based on the combined methods of morphology and phylogeny, Cytospora qujingensis sp. nov. and Hypoxylon malongense sp. nov. are introduced as novel saprobic and endophytic taxa, respectively. Moreover, Aureobasidium pullulans and Cytospora schulzeri are reported as new geological records from southwestern China. Allocryptovalsa castaneae is reported on M. domestica in China for the first time. The checklist of fungi associated with M. domestica in China is presented.",1,0,0.6477866172790527,0.35221338272094727,3,biodivbert,True,4
"Microbial symbionts inhabit tissues of all plants and animals. Their community composition depends largely on two ecological processes: (1) filtering by abiotic conditions and host species determining the environments that symbionts are able to colonize and (2) dispersal-limitation determining the pool of symbionts available to colonize a given host and community spatial structure. In plants, the above- and belowground tissues represent such distinct habitats for symbionts that we expect different effects of filtering and spatial structuring on their symbiont communities. In this study, we characterized above- and belowground communities of fungal endophytes—fungi living asymptomatically within plants—to understand the contributions of filtering and spatial structure to endophyte community composition. We used a culture-based approach to characterize endophytes growing in leaves and roots of three species of coastal beachgrasses in dunes of the USA Pacific Northwest. For leaves, endophyte isolation frequency and OTU richness depended primarily on plant host species. In comparison, for roots, both isolation frequency and OTU richness increased from the nutrient-poor front of the dune to the higher-nutrient backdune. Endophyte community composition in leaves exhibited a distance-decay relationship across the region. In a laboratory assay, faster growth rates and lower spore production were more often associated with leaf- than root-inhabiting endophytes. Overall, our results reveal a greater importance of biotic filtering by host species and dispersal-limitation over regional geographic distances for aboveground leaf endophyte communities and stronger effects of abiotic environmental filtering and locally patchy distributions for belowground root endophyte communities.",0,1,0.2567584812641144,0.7432414889335632,0,bert-base-uncased,True,4
"Microbial symbionts inhabit tissues of all plants and animals. Their community composition depends largely on two ecological processes: (1) filtering by abiotic conditions and host species determining the environments that symbionts are able to colonize and (2) dispersal-limitation determining the pool of symbionts available to colonize a given host and community spatial structure. In plants, the above- and belowground tissues represent such distinct habitats for symbionts that we expect different effects of filtering and spatial structuring on their symbiont communities. In this study, we characterized above- and belowground communities of fungal endophytes—fungi living asymptomatically within plants—to understand the contributions of filtering and spatial structure to endophyte community composition. We used a culture-based approach to characterize endophytes growing in leaves and roots of three species of coastal beachgrasses in dunes of the USA Pacific Northwest. For leaves, endophyte isolation frequency and OTU richness depended primarily on plant host species. In comparison, for roots, both isolation frequency and OTU richness increased from the nutrient-poor front of the dune to the higher-nutrient backdune. Endophyte community composition in leaves exhibited a distance-decay relationship across the region. In a laboratory assay, faster growth rates and lower spore production were more often associated with leaf- than root-inhabiting endophytes. Overall, our results reveal a greater importance of biotic filtering by host species and dispersal-limitation over regional geographic distances for aboveground leaf endophyte communities and stronger effects of abiotic environmental filtering and locally patchy distributions for belowground root endophyte communities.",0,1,0.1390027552843094,0.860997200012207,0,bert-base-cased,True,4
"Microbial symbionts inhabit tissues of all plants and animals. Their community composition depends largely on two ecological processes: (1) filtering by abiotic conditions and host species determining the environments that symbionts are able to colonize and (2) dispersal-limitation determining the pool of symbionts available to colonize a given host and community spatial structure. In plants, the above- and belowground tissues represent such distinct habitats for symbionts that we expect different effects of filtering and spatial structuring on their symbiont communities. In this study, we characterized above- and belowground communities of fungal endophytes—fungi living asymptomatically within plants—to understand the contributions of filtering and spatial structure to endophyte community composition. We used a culture-based approach to characterize endophytes growing in leaves and roots of three species of coastal beachgrasses in dunes of the USA Pacific Northwest. For leaves, endophyte isolation frequency and OTU richness depended primarily on plant host species. In comparison, for roots, both isolation frequency and OTU richness increased from the nutrient-poor front of the dune to the higher-nutrient backdune. Endophyte community composition in leaves exhibited a distance-decay relationship across the region. In a laboratory assay, faster growth rates and lower spore production were more often associated with leaf- than root-inhabiting endophytes. Overall, our results reveal a greater importance of biotic filtering by host species and dispersal-limitation over regional geographic distances for aboveground leaf endophyte communities and stronger effects of abiotic environmental filtering and locally patchy distributions for belowground root endophyte communities.",0,1,0.42356371879577637,0.5764362215995789,0,biobert,True,4
"Microbial symbionts inhabit tissues of all plants and animals. Their community composition depends largely on two ecological processes: (1) filtering by abiotic conditions and host species determining the environments that symbionts are able to colonize and (2) dispersal-limitation determining the pool of symbionts available to colonize a given host and community spatial structure. In plants, the above- and belowground tissues represent such distinct habitats for symbionts that we expect different effects of filtering and spatial structuring on their symbiont communities. In this study, we characterized above- and belowground communities of fungal endophytes—fungi living asymptomatically within plants—to understand the contributions of filtering and spatial structure to endophyte community composition. We used a culture-based approach to characterize endophytes growing in leaves and roots of three species of coastal beachgrasses in dunes of the USA Pacific Northwest. For leaves, endophyte isolation frequency and OTU richness depended primarily on plant host species. In comparison, for roots, both isolation frequency and OTU richness increased from the nutrient-poor front of the dune to the higher-nutrient backdune. Endophyte community composition in leaves exhibited a distance-decay relationship across the region. In a laboratory assay, faster growth rates and lower spore production were more often associated with leaf- than root-inhabiting endophytes. Overall, our results reveal a greater importance of biotic filtering by host species and dispersal-limitation over regional geographic distances for aboveground leaf endophyte communities and stronger effects of abiotic environmental filtering and locally patchy distributions for belowground root endophyte communities.",0,1,0.1745535284280777,0.8254464864730835,0,biodivbert,True,4
"Abstract Microorganisms play a crucial role in the biological decomposition of plant litter in terrestrial ecosystems. Due to the permanently changing litter quality during decomposition, studies of both fungi and bacteria at a fine taxonomic resolution are required during the whole process. Here we investigated microbial community succession in decomposing leaf litter of temperate beech forest using pyrotag sequencing of the bacterial 16S and the fungal internal transcribed spacer ( ITS ) rRNA genes. Our results reveal that both communities underwent rapid changes. Proteobacteria, Actinobacteria and Bacteroidetes dominated over the entire study period, but their taxonomic composition and abundances changed markedly among sampling dates. The fungal community also changed dynamically as decomposition progressed, with ascomycete fungi being increasingly replaced by basidiomycetes. We found a consistent and highly significant correlation between bacterial richness and fungal richness ( R = 0.76, P {<} 0.001) and community structure ( R M antel = 0.85, P {<} 0.001), providing evidence of coupled dynamics in the fungal and bacterial communities. A network analysis highlighted nonrandom co‐occurrences among bacterial and fungal taxa as well as a shift in the cross‐kingdom co‐occurrence pattern of their communities from the early to the later stages of decomposition. During this process, macronutrients, micronutrients, C:N ratio and pH were significantly correlated with the fungal and bacterial communities, while bacterial richness positively correlated with three hydrolytic enzymes important for C, N and P acquisition. Overall, we provide evidence that the complex litter decay is the result of a dynamic cross‐kingdom functional succession.",0,1,0.060689229518175125,0.9393107891082764,4,bert-base-cased,True,3
"Abstract Microorganisms play a crucial role in the biological decomposition of plant litter in terrestrial ecosystems. Due to the permanently changing litter quality during decomposition, studies of both fungi and bacteria at a fine taxonomic resolution are required during the whole process. Here we investigated microbial community succession in decomposing leaf litter of temperate beech forest using pyrotag sequencing of the bacterial 16S and the fungal internal transcribed spacer ( ITS ) rRNA genes. Our results reveal that both communities underwent rapid changes. Proteobacteria, Actinobacteria and Bacteroidetes dominated over the entire study period, but their taxonomic composition and abundances changed markedly among sampling dates. The fungal community also changed dynamically as decomposition progressed, with ascomycete fungi being increasingly replaced by basidiomycetes. We found a consistent and highly significant correlation between bacterial richness and fungal richness ( R = 0.76, P {<} 0.001) and community structure ( R M antel = 0.85, P {<} 0.001), providing evidence of coupled dynamics in the fungal and bacterial communities. A network analysis highlighted nonrandom co‐occurrences among bacterial and fungal taxa as well as a shift in the cross‐kingdom co‐occurrence pattern of their communities from the early to the later stages of decomposition. During this process, macronutrients, micronutrients, C:N ratio and pH were significantly correlated with the fungal and bacterial communities, while bacterial richness positively correlated with three hydrolytic enzymes important for C, N and P acquisition. Overall, we provide evidence that the complex litter decay is the result of a dynamic cross‐kingdom functional succession.",0,1,0.07610242813825607,0.9238975048065186,4,biobert,True,3
"Abstract Microorganisms play a crucial role in the biological decomposition of plant litter in terrestrial ecosystems. Due to the permanently changing litter quality during decomposition, studies of both fungi and bacteria at a fine taxonomic resolution are required during the whole process. Here we investigated microbial community succession in decomposing leaf litter of temperate beech forest using pyrotag sequencing of the bacterial 16S and the fungal internal transcribed spacer ( ITS ) rRNA genes. Our results reveal that both communities underwent rapid changes. Proteobacteria, Actinobacteria and Bacteroidetes dominated over the entire study period, but their taxonomic composition and abundances changed markedly among sampling dates. The fungal community also changed dynamically as decomposition progressed, with ascomycete fungi being increasingly replaced by basidiomycetes. We found a consistent and highly significant correlation between bacterial richness and fungal richness ( R = 0.76, P {<} 0.001) and community structure ( R M antel = 0.85, P {<} 0.001), providing evidence of coupled dynamics in the fungal and bacterial communities. A network analysis highlighted nonrandom co‐occurrences among bacterial and fungal taxa as well as a shift in the cross‐kingdom co‐occurrence pattern of their communities from the early to the later stages of decomposition. During this process, macronutrients, micronutrients, C:N ratio and pH were significantly correlated with the fungal and bacterial communities, while bacterial richness positively correlated with three hydrolytic enzymes important for C, N and P acquisition. Overall, we provide evidence that the complex litter decay is the result of a dynamic cross‐kingdom functional succession.",0,1,0.4584551155567169,0.5415449142456055,4,biodivbert,True,3
"Most Boletaceae form ectomycorrhizas but species in two sister groups (subfamily Chalciporoideae and the genus Pseudoboletus) have unclear trophic modes and are putatively mycoparasitic. Chalciporoideae is the earliest diverging lineage in Boletaceae and includes Chalciporus and Buchwaldoboletus. Buchwaldoboletus species fruit on wood and were thought to be saprobes, but the type species Buchwaldoboletus lignicola is mycoparasitic on the wood decay fungus Phaeolus schweinitzii. However, the nutritional mode and host range of B. lignicola and other Buchwaldoboletus remain unclear. We obtained fresh collections and axenic cultures of B. lignicola, B. hemichrysus and B. sphaerocephalus from the southeastern USA. We use cultures to examine the phylogenetic relationships among taxa in Chalciporoideae, elucidate the trophic mode of Buchwaldoboletus species and test the effect that Buchwaldoboletus species have on wood decay. Our analysis supports the hypothesis that the Chalciporus lineage is sister to all other Boletaceae but suggests that Buchwaldoboletus is not monophyletic. Confrontation experiments on agar suggest that Buchwaldoboletus species might parasitize a wide range of decay fungi. Buchwaldoboletus hemichrysus and B. sphaerocephalus produce abundant conidia in culture whereas the more distantly related B. lignicola produces sclerotia. Wood decay assays show that Buchwaldoboletus species did not have a significant effect on the decay caused by wood decay fungi. Interestingly, when B. lignicola or B. hemichrysus were inoculated alone on wood both species decayed wood, producing a brown rot that can cause 35–65\% mass loss over 6 months. Our results suggest that Buchwaldoboletus species have a dual trophic mode as saprobes and mycoparasites.",1,0,0.5854591131210327,0.4145409166812897,3,bert-base-uncased,True,3
